Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,1038,0,524,0,514,0,0,0,0,0,0,0,0,0,0.0401,0,0,0,19,0.4480,0.4114,0.1407,0.0000,0.0000,0.0000,0,0,0,0,0,0,89,88,92,105,73,38,39,102,79,96,95,66,40,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,1106,0,554,0,552,0,0,0,0,0,0,0,0,0,0.0415,0,0,0,32,0.4412,0.4132,0.1456,0.0000,0.0000,0.0000,0,0,0,0,0,0,107,89,96,110,70,39,43,121,82,100,100,72,42,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,1155,0,581,0,574,0,0,0,0,0,0,0,0,0,0.0413,0,0,0,45,0.4338,0.4173,0.1489,0.0000,0.0000,0.0000,0,0,0,0,0,0,125,83,99,115,74,41,44,130,89,97,108,69,45,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,1199,0,591,0,608,0,0,0,0,0,0,0,0,0,0.0440,0,0,0,68,0.4395,0.4162,0.1443,0.0000,0.0000,0.0000,0,0,0,0,0,0,130,87,102,117,72,46,37,151,92,92,116,70,48,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,1258,0,622,0,636,0,0,0,0,0,0,0,0,0,0.0434,0,0,0,83,0.4396,0.4118,0.1486,0.0000,0.0000,0.0000,0,0,0,0,0,0,133,108,107,116,71,48,39,145,116,99,115,74,47,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,1314,0,657,0,657,0,0,0,0,0,0,0,0,0,0.0426,0,0,0,107,0.4429,0.4110,0.1461,0.0000,0.0000,0.0000,0,0,0,0,0,0,144,122,113,113,81,48,36,136,141,104,113,78,43,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,1374,0,685,0,689,0,0,0,0,0,0,0,0,0,0.0438,0,0,0,125,0.4432,0.4098,0.1470,0.0000,0.0000,0.0000,0,0,0,0,0,0,149,136,113,122,76,50,39,146,147,111,112,85,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,1435,0,714,0,721,0,0,0,0,0,0,0,0,0,0.0434,0,0,0,142,0.4495,0.4056,0.1449,0.0000,0.0000,0.0000,0,0,0,0,0,0,162,148,114,122,80,52,36,144,166,115,118,84,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,1513,0,750,0,763,0,0,0,0,0,0,0,0,0,0.0440,0,0,0,159,0.4521,0.4038,0.1441,0.0000,0.0000,0.0000,0,0,0,0,0,0,170,165,116,126,84,56,33,159,182,116,128,83,48,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,1587,0,775,0,812,0,0,0,0,0,0,0,0,0,0.0465,0,0,0,180,0.4461,0.4108,0.1430,0.0000,0.0000,0.0000,0,0,0,0,0,0,162,177,130,132,87,51,36,182,173,145,125,85,57,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
