Time,Year,Timestep,N_m,N_f,NPos_m,NPos_f,N_knowpos_m,N_knowpos_f,NART_m,NART_f,NVS_m,NVS_f,NNotKnowStatus_m,NNotKnowStatus_f,PropMenCirc,Cumulative_Infected_m,Cumulative_Infected_f
1975.0833,1975,4,4453,4291,1,0,0,0,0,0,0,0,1,0,0.0521,1,0
1975.1667,1975,8,4463,4297,1,0,0,0,0,0,0,0,1,0,0.0522,1,0
1975.2500,1975,12,4473,4308,1,0,0,0,0,0,0,0,1,0,0.0521,1,0
1975.3333,1975,16,4491,4318,1,0,0,0,0,0,0,0,1,0,0.0519,1,0
1975.4167,1975,20,4507,4339,1,0,0,0,0,0,0,0,1,0,0.0517,1,0
1975.5000,1975,24,4509,4351,1,0,0,0,0,0,0,0,1,0,0.0515,1,0
1975.5833,1975,28,4518,4365,1,0,0,0,0,0,0,0,1,0,0.0518,1,0
1975.6667,1975,32,4527,4377,1,0,0,0,0,0,0,0,1,0,0.0517,1,0
1975.7500,1975,36,4536,4389,1,0,0,0,0,0,0,0,1,0,0.0518,1,0
1975.8333,1975,40,4554,4402,1,0,0,0,0,0,0,0,1,0,0.0518,1,0
1975.9167,1975,44,4556,4416,1,0,0,0,0,0,0,0,1,0,0.0520,1,0
1976.0000,1976,0,4578,4422,1,0,0,0,0,0,0,0,1,0,0.0518,1,0
1976.0833,1976,4,4588,4430,1,0,0,0,0,0,0,0,1,0,0.0521,1,0
1976.1667,1976,8,4600,4443,1,0,0,0,0,0,0,0,1,0,0.0520,1,0
1976.2500,1976,12,4611,4452,1,0,0,0,0,0,0,0,1,0,0.0520,1,0
1976.3333,1976,16,4620,4474,1,0,0,0,0,0,0,0,1,0,0.0524,1,0
1976.4167,1976,20,4640,4481,1,0,0,0,0,0,0,0,1,0,0.0524,1,0
1976.5000,1976,24,4655,4488,1,0,0,0,0,0,0,0,1,0,0.0524,1,0
1976.5833,1976,28,4661,4501,1,0,0,0,0,0,0,0,1,0,0.0523,1,0
1976.6667,1976,32,4668,4511,1,0,0,0,0,0,0,0,1,0,0.0523,1,0
1976.7500,1976,36,4674,4538,1,0,0,0,0,0,0,0,1,0,0.0520,1,0
1976.8333,1976,40,4687,4548,1,0,0,0,0,0,0,0,1,0,0.0518,1,0
1976.9167,1976,44,4696,4560,1,0,0,0,0,0,0,0,1,0,0.0522,1,0
1977.0000,1977,0,4709,4574,1,0,0,0,0,0,0,0,1,0,0.0520,1,0
1977.0833,1977,4,4716,4589,3,1,0,0,0,0,0,0,3,1,0.0522,3,1
1977.1667,1977,8,4730,4603,3,1,0,0,0,0,0,0,3,1,0.0522,3,1
1977.2500,1977,12,4745,4611,4,1,0,0,0,0,0,0,4,1,0.0523,4,1
1977.3333,1977,16,4754,4625,4,1,0,0,0,0,0,0,4,1,0.0520,4,1
1977.4167,1977,20,4765,4641,4,1,0,0,0,0,0,0,4,1,0.0520,4,1
1977.5000,1977,24,4781,4656,4,1,0,0,0,0,0,0,4,1,0.0521,4,1
1977.5833,1977,28,4796,4670,4,1,0,0,0,0,0,0,4,1,0.0523,4,1
1977.6667,1977,32,4802,4678,4,1,0,0,0,0,0,0,4,1,0.0523,4,1
1977.7500,1977,36,4817,4690,4,1,0,0,0,0,0,0,4,1,0.0521,4,1
1977.8333,1977,40,4827,4699,4,1,0,0,0,0,0,0,4,1,0.0518,4,1
1977.9167,1977,44,4835,4712,4,2,0,0,0,0,0,0,4,2,0.0515,4,2
1978.0000,1978,0,4850,4728,5,2,0,0,0,0,0,0,5,2,0.0515,5,2
1978.0833,1978,4,4858,4747,7,2,0,0,0,0,0,0,7,2,0.0517,7,2
1978.1667,1978,8,4871,4753,7,2,0,0,0,0,0,0,7,2,0.0519,7,2
1978.2500,1978,12,4878,4768,7,2,0,0,0,0,0,0,7,2,0.0519,7,2
