Time,Year,Timestep,N_m,N_f,NPos_m,NPos_f,N_knowpos_m,N_knowpos_f,NART_m,NART_f,NVS_m,NVS_f,NNotKnowStatus_m,NNotKnowStatus_f,PropMenCirc,Cumulative_Infected_m,Cumulative_Infected_f
1975.0833,1975,4,2627,2746,0,0,0,0,0,0,0,0,0,0,0.0586,0,0
1975.1667,1975,8,2631,2750,0,0,0,0,0,0,0,0,0,0,0.0585,0,0
1975.2500,1975,12,2637,2754,0,0,0,0,0,0,0,0,0,0,0.0588,0,0
1975.3333,1975,16,2638,2766,0,0,0,0,0,0,0,0,0,0,0.0588,0,0
1975.4167,1975,20,2646,2776,0,0,0,0,0,0,0,0,0,0,0.0582,0,0
1975.5000,1975,24,2650,2779,0,0,0,0,0,0,0,0,0,0,0.0581,0,0
1975.5833,1975,28,2656,2783,0,0,0,0,0,0,0,0,0,0,0.0572,0,0
1975.6667,1975,32,2669,2799,0,0,0,0,0,0,0,0,0,0,0.0566,0,0
1975.7500,1975,36,2676,2809,0,0,0,0,0,0,0,0,0,0,0.0561,0,0
1975.8333,1975,40,2695,2820,0,0,0,0,0,0,0,0,0,0,0.0557,0,0
1975.9167,1975,44,2701,2826,0,0,0,0,0,0,0,0,0,0,0.0559,0,0
1976.0000,1976,0,2709,2822,0,0,0,0,0,0,0,0,0,0,0.0561,0,0
1976.0833,1976,4,2712,2826,2,0,0,0,0,0,0,0,2,0,0.0557,2,0
1976.1667,1976,8,2723,2834,2,1,0,0,0,0,0,0,2,1,0.0562,2,1
1976.2500,1976,12,2733,2845,2,1,0,0,0,0,0,0,2,1,0.0560,2,1
1976.3333,1976,16,2741,2853,2,1,0,0,0,0,0,0,2,1,0.0558,2,1
1976.4167,1976,20,2749,2876,2,1,0,0,0,0,0,0,2,1,0.0564,2,1
1976.5000,1976,24,2751,2885,2,1,0,0,0,0,0,0,2,1,0.0563,2,1
1976.5833,1976,28,2758,2894,2,1,0,0,0,0,0,0,2,1,0.0562,2,1
1976.6667,1976,32,2777,2911,2,1,0,0,0,0,0,0,2,1,0.0555,2,1
1976.7500,1976,36,2785,2906,2,1,0,0,0,0,0,0,2,1,0.0553,2,1
1976.8333,1976,40,2791,2911,2,1,0,0,0,0,0,0,2,1,0.0548,2,1
1976.9167,1976,44,2806,2926,2,1,0,0,0,0,0,0,2,1,0.0549,2,1
1977.0000,1977,0,2805,2932,2,1,0,0,0,0,0,0,2,1,0.0545,2,1
1977.0833,1977,4,2813,2941,3,1,0,0,0,0,0,0,3,1,0.0544,3,1
1977.1667,1977,8,2826,2952,3,1,0,0,0,0,0,0,3,1,0.0545,3,1
1977.2500,1977,12,2833,2960,3,2,0,0,0,0,0,0,3,2,0.0540,3,2
1977.3333,1977,16,2841,2966,3,2,0,0,0,0,0,0,3,2,0.0539,3,2
1977.4167,1977,20,2852,2978,3,2,0,0,0,0,0,0,3,2,0.0543,3,2
1977.5000,1977,24,2859,2985,3,2,0,0,0,0,0,0,3,2,0.0546,3,2
1977.5833,1977,28,2863,2992,3,2,0,0,0,0,0,0,3,2,0.0548,3,2
1977.6667,1977,32,2882,3006,3,2,0,0,0,0,0,0,3,2,0.0555,3,2
1977.7500,1977,36,2882,3011,3,2,0,0,0,0,0,0,3,2,0.0552,3,2
1977.8333,1977,40,2893,3020,3,2,0,0,0,0,0,0,3,2,0.0550,3,2
